Customer Account Name,Opportunities Opportunity Created Date,Accounts Salesforce Account ID,Opportunity Key Dates Current Stage,Accounts Is Churned? (Yes / No),Customer Account Toast Guid,Opportunities Total Software ARR,Opportunity Line Item Hardware Value
"Sun Island Bar-BQ & Jerk, LLC",2023-05-03,0014W00003COuW0QAL,13. Booked - Need Info to Onboard,No,b28bc2a3-5b18-491f-a697-94d0227a7199,300,1062.4
Balkan Caffe & Grill,2023-05-03,0014W00003COvFYQA1,13. Booked - Need Info to Onboard,No,70571ae6-052c-4d8d-a822-95b462f869c3,0,699
K's Kitchen and Deli,2023-05-03,0014W00003COuYLQA1,13. Booked - Need Info to Onboard,No,dcd1e601-fa55-43fa-93a2-1f8c28ed86be,0,269
Taco Buzz,2023-05-03,0014W00003COvvQQAT,13. Booked - Need Info to Onboard,No,e7563186-9d1b-497c-85fc-519bc1a84ae4,900,602.99
EZCatering LLC,2023-05-03,0014W00003COuiBQAT,13. Booked - Need Info to Onboard,No,f259aba0-2bf2-456a-b938-64d8f73b899c,0,0
Exotic Street Foods,2023-05-03,0014W00003COvRZQA1,13. Booked - Need Info to Onboard,No,5dbbf8e5-bbca-4a76-a2ec-8acb5226fa72,0,0
Shimoda,2023-05-03,0014W00003COvteQAD,16. Closed - Onboarded,No,66e3896f-30c3-44d8-9c27-d7308938a3d1,0,0
Bagelafe,2023-05-03,0014W00003COuWtQAL,16. Closed - Onboarded,No,a63d18da-6d64-439f-a9fd-8eed0f60f4f6,0,430
Twisted Whisk Catering,2023-05-03,0014W00003COuaIQAT,13. Booked - Need Info to Onboard,No,ef6d5b20-dfb6-4640-836a-6177a5abb730,0,315.03
Vidiots,2023-05-03,0014W00003COvmoQAD,13. Booked - Need Info to Onboard,No,dd202c2f-140e-4d5f-88f5-5d6d43e131d0,1968,1336.2
JFK Business Club/John F. Kennedy High School,2023-05-03,0014W00003COvMyQAL,13. Booked - Need Info to Onboard,No,290aaeab-6aed-4baa-89e1-5d8e058989b1,0,0
Route 66 Mobile Diner,2023-05-03,0014W00003COuarQAD,13. Booked - Need Info to Onboard,No,2a95cef8-cc06-4302-ab9e-b981231d0a57,300,741.3
Levee Street Warehouse #2,2023-05-03,0014W00003COwAGQA1,13. Booked - Need Info to Onboard,No,aa3258de-eef0-43ca-b66a-fbd588c2b631,0,675
Space Crepes,2023-05-02,0014W00003COuJzQAL,16. Closed - Onboarded,No,2cea09f7-400c-44e2-b11f-31218ae2eb6e,0,177.6
The Asado Authority LLC,2023-05-02,0014W00003COu54QAD,13. Booked - Need Info to Onboard,No,af7625c0-2e10-4666-bd66-4d584e489854,1200,0
Otherside Marfa,2023-05-02,0014W00003COtZqQAL,13. Booked - Need Info to Onboard,No,ad449716-8656-4cd4-9f98-d362324721b6,0,0
Truffle Bar,2023-05-02,0014W00003COtM6QAL,16. Closed - Onboarded,No,62a42431-3f0c-40ca-a264-cbf40e80470c,0,200.41
Bite Me Street Eats,2023-05-02,0014W00003COuQgQAL,13. Booked - Need Info to Onboard,No,a7e984c1-7323-4166-90ed-9c283d27ced4,0,100.03
Eastside Eats,2023-05-02,0014W00003COtowQAD,13. Booked - Need Info to Onboard,No,2cc2d722-2af6-4902-a5a2-151e23a1ff12,0,236.8
Hey Sugar,2023-05-02,0014W00003COuDhQAL,13. Booked - Need Info to Onboard,No,fe2a2540-4686-4d55-b62d-919f6ea19cd9,0,199.99
Las Coritas LLC,2023-05-02,0014W00003COtaKQAT,13. Booked - Need Info to Onboard,No,36cbce75-603a-47bc-9517-7010a3e1be94,0,0
La Kermes,2023-05-02,0014W00003COt2VQAT,13. Booked - Need Info to Onboard,No,5b3cb90f-244e-4043-9a2f-399528b8d36e,0,258
LV Rec,2023-05-02,0014W00003COuReQAL,13. Booked - Need Info to Onboard,No,ec99f00c-9c2a-4120-9e64-1ce009cab152,0,0
RayAnne's,2023-05-02,0014W00003COswgQAD,13. Booked - Need Info to Onboard,No,093a3466-6ac7-4ca5-b2ba-acdccd412297,828,799
Island Acai,2023-05-02,0014W00003COspWQAT,16. Closed - Onboarded,No,c8366510-4007-4627-934e-fce2915fdc43,0,0
House Of Tacos,2023-05-02,0014W00003COuKEQA1,16. Closed - Onboarded,No,b41a9fc8-f2c9-453d-8a34-557496daac19,0,0
El Patriota 1 LLC,2023-05-02,0014W00003COtmWQAT,16. Closed - Onboarded,No,69dca0e0-ba24-4bc0-a1de-20b9e0cbad68,0,430
Road Dogs,2023-05-02,0014W00003COt6NQAT,13. Booked - Need Info to Onboard,No,6716ef2f-9438-46dd-ae7d-63df45565a30,0,0
Parrot & Frog,2023-05-02,0014W00003COtnAQAT,16. Closed - Onboarded,No,5362d914-46d3-4461-a6f4-5dba4bf031f5,0,301
Kathyz Ja Jerk,2023-05-02,0014W00003COtNpQAL,13. Booked - Need Info to Onboard,No,1c46c134-eff2-4ea4-a6f3-827c13d780bf,0,0
Crazy Good Kitchen,2023-05-02,0014W00003COtTEQA1,13. Booked - Need Info to Onboard,No,8b590ee1-0d3f-42dc-86f5-f74f776310ce,0,0
"Covington Mercantile & Coffee Company, LLC",2023-05-01,0014W00003CO4fnQAD,13. Booked - Need Info to Onboard,No,c4cd37d4-5f7a-4fb7-b547-d3509606050b,0,120.01
Roasted and Toasted of Chattanooga,2023-05-01,0014W00003CO4gqQAD,13. Booked - Need Info to Onboard,No,6d8d0393-edf2-4e97-b43a-bacbe2bc858f,300,377.4
Nautty Goodies,2023-05-01,0014W00003CO4WnQAL,13. Booked - Need Info to Onboard,No,bb555f0f-95d7-4a85-af41-bf5e9417d641,300,538.81
Sip Smoothie Parlor,2023-05-01,0014W00003CO57WQAT,16. Closed - Onboarded,No,0c1b91b0-43e8-40d1-98b3-59bf40693283,1320,1132.81
Shreddies2,2023-05-01,0014W00003CO4TtQAL,13. Booked - Need Info to Onboard,No,bbf3d2b0-0871-429d-915b-626e754c2a4a,0,318
Two Scoops & a Bar 1.5,2023-05-01,0014W00003CO59hQAD,16. Closed - Onboarded,No,1b3a4536-6ac7-4395-9297-f301453ac7cd,0,0
Organic circle,2023-05-01,0014W00003CO4kdQAD,16. Closed - Onboarded,No,eb996beb-446e-4301-a9a5-0721fc941563,900,344
HAPPY CHILDREN KINDERGARTEN LIMITED LIABILITY COMPANY,2023-05-01,0014W00003CO4a9QAD,13. Booked - Need Info to Onboard,No,cd4074da-3e88-4be6-9738-6899d811eba9,0,0
Lavender and Twine,2023-05-01,0014W00003CO4u4QAD,16. Closed - Onboarded,No,d4376df8-1102-4054-a621-b820469facb6,0,0
Troy Wilson's BBQ LLC,2023-05-01,0014W00003CO4bHQAT,13. Booked - Need Info to Onboard,No,2a6e0c12-37cf-4069-a4f8-991ed204127a,0,0
Pinky Tacos,2023-05-01,0014W00003CO4YNQA1,13. Booked - Need Info to Onboard,No,8e746074-b8c3-4bfe-ad37-427f438aad49,0,0
Mountain View pizza & ice cream,2023-05-01,0014W00003COsmXQAT,13. Booked - Need Info to Onboard,No,a3ed1600-007b-4a16-9dd0-e1e217d8f5ec,0,403
Pizza MI,2023-05-01,0014W00003CO56EQAT,13. Booked - Need Info to Onboard,No,72502846-2ad4-4d18-8d4c-884381f29f80,0,199.99
Milano's Fish and Chicken,2023-05-01,0014W00003CO50BQAT,13. Booked - Need Info to Onboard,No,d22606fd-bc07-4393-bf3f-ddc14ecc5c14,360,0
Ron Don's Cuisine,2023-05-01,0014W00003CO4cZQAT,15. Closed - On hold by Onboarding,No,d6ca2ece-12d4-4556-82d4-82a9272cb197,0,0
Sauwce’s Kitchen,2023-05-01,0014W00003CO564QAD,15. Closed - On hold by Onboarding,No,814748d3-d49c-4cf1-92ef-5216ab96d77f,0,468.99
"SINBUN, LLC",2023-05-01,0014W00003CO53KQAT,16. Closed - Onboarded,No,d7830f82-8b39-4bf7-98ce-bae1ed145187,0,0
Golden wingz,2023-05-01,0014W00003CO4R9QAL,16. Closed - Onboarded,No,f6db446f-30f3-4a9d-bee2-d14aa7ffac07,0,190.8
"Westside Kitchen, LLC",2023-05-01,0014W00003CO4kYQAT,16. Closed - Onboarded,No,35e67306-8809-4e62-b15b-4acccd3db795,0,0
Wana Navu Kava Bar,2023-04-29,0014W00003CO3W5QAL,16. Closed - Onboarded,No,b53534fa-4d31-40d3-beef-358389617c10,0,0
T & R Bar & Grill,2023-04-29,0014W00003CO3W0QAL,13. Booked - Need Info to Onboard,No,6deae9ca-b27c-41b1-88c3-a1c73f1b2b56,0,0
Sabor Latino Food Truck,2023-04-29,0014W00003CO3pdQAD,13. Booked - Need Info to Onboard,No,c7e10568-f932-4da7-85a2-b2bc7deb1d16,0,0
Knickerbocker Landing Saloon and Eatery,2023-04-28,0014W00003CO3QRQA1,16. Closed - Onboarded,No,fec8b393-fef4-4508-86c4-3371ef4bc32d,300,1040.4
Cantina Food & Spirits,2023-04-28,0014W00003CO2j4QAD,16. Closed - Onboarded,No,28a5ae48-b5e6-4224-afd8-0c40f0d52245,0,190.8
Sabor Rican Foods,2023-04-28,0014W00003CO310QAD,13. Booked - Need Info to Onboard,No,7acff740-4ed0-4dfe-93e6-7cbd7906161d,0,0
Buc -N- Woody’s,2023-04-28,0014W00003CO3LgQAL,13. Booked - Need Info to Onboard,No,51193579-5fd4-42b8-a22b-17f27822133f,0,125.4
Ouachita Bar & Grill,2023-04-28,0014W00003CO2QCQA1,16. Closed - Onboarded,No,827924ad-d212-45da-bd86-35107fbdf43a,300,499
Stolze's SmokeHouse LLC,2023-04-28,0014W00003CO29qQAD,16. Closed - Onboarded,No,d14f3aaa-4b6c-4ec9-b9c2-bde2e605f677,0,279.28
El Fuerte,2023-04-28,0014W00003CO2cIQAT,13. Booked - Need Info to Onboard,No,dc8d4fe9-4057-4f45-8212-f3875d69db00,0,0
Chicago's Fish Cafe,2023-04-28,0014W00003CO3M5QAL,16. Closed - Onboarded,No,15474971-2e21-431a-aea3-71e5d19a1fee,300,299.4
Motown BBQ Pit,2023-04-28,0014W00003CO30vQAD,16. Closed - Onboarded,No,61e1f0cc-ef47-4749-b202-a6ffe7d8273a,0,655.18
ECOMM TEST - Yvonne's Salad Shack,2023-04-28,0014W00003CO3RtQAL,13. Booked - Need Info to Onboard,No,2b01fc33-91c1-4593-9a4f-5a18a9bd66df,360,0
Primos sandwich shop,2023-04-28,0014W00003CO2zdQAD,13. Booked - Need Info to Onboard,No,54d65b94-1bf1-495b-a81a-d8363eda0223,0,196.8
Wholistic Herbalism,2023-04-28,0014W00003CO2OQQA1,16. Closed - Onboarded,No,915daf92-507d-414b-86a2-e98a039b2fe7,0,120.01
Dizzy Llama,2023-04-28,0014W00003CO0l3QAD,18. Live,No,a69665cd-c130-4f45-b00c-65f10f88903c,0,0
Night life cafe,2023-04-28,0014W00003CO0oMQAT,13. Booked - Need Info to Onboard,No,ec243eab-96ce-4bc6-b93b-aa390897c46d,900,0
Hot dog boat,2023-04-28,0014W00003CO1n1QAD,13. Booked - Need Info to Onboard,No,e0c96c20-0b91-4243-9897-03fe298c38b1,0,0
MacDaddy's Events and Catering,2023-04-28,0014W00003CO32NQAT,16. Closed - Onboarded,No,7afea94f-2d0d-4e92-892f-402bef8212a6,300,610.21
Scott’s Pizza,2023-04-28,0014W00003CO2CpQAL,16. Closed - Onboarded,No,dce5f1c3-c344-477a-9176-4f16dc2d8af3,0,310.81
Good Stuff Kitchen co Monroe Infrared Inc,2023-04-28,0014W00003CO2NwQAL,16. Closed - Onboarded,No,56733758-5fab-4b51-aecb-2a8b22308d2c,0,139.3
Bender's Bar & Grill,2023-04-28,0014W00003CO0jgQAD,13. Booked - Need Info to Onboard,No,debe2fa9-8587-47c9-94d3-a5a06e61face,2868,2953
Sabor do Brazil,2023-04-28,0014W00003CO0nYQAT,13. Booked - Need Info to Onboard,No,6cdc30f5-715a-44d9-87f9-4903720388f5,0,0
Chick Flag,2023-04-28,0014W00003CO2kHQAT,16. Closed - Onboarded,No,3e474cc3-dc7b-438b-b981-5a66290786d3,0,0
Black Pearl Catering Co.,2023-04-28,0014W00003CO2iBQAT,13. Booked - Need Info to Onboard,No,9415e01e-ebf1-4d55-8b7f-29a1f29d9cb3,0,328
Helados y Tentaciones,2023-04-28,0014W00003CO2MZQA1,13. Booked - Need Info to Onboard,No,b6f7c9d5-09fe-4791-b83a-6b4b538f6bea,0,190.8
Pupuseria Flor y Paraiso,2023-04-28,0014W00003CO2eYQAT,13. Booked - Need Info to Onboard,No,d71dea0b-a485-49d2-abf6-b953158f3bf0,0,368.9
"Black Pony Pizza, LLC",2023-04-28,0014W00003CO2jOQAT,15. Closed - On hold by Onboarding,No,ee872ae4-0db1-49ee-84e2-32d32f914949,0,244.8
Slicks Pitstop,2023-04-28,0014W00003CO2jJQAT,13. Booked - Need Info to Onboard,No,3b074ee6-3e5c-4c65-9381-21784bba06dc,300,499
Souur Patch Kiddz Llc,2023-04-28,0014W00003CO0kAQAT,13. Booked - Need Info to Onboard,No,196a50db-56f4-4624-bd0e-0ce8a4a3cf08,0,0
Harry O's,2023-04-27,0014W00003CNzRJQA1,16. Closed - Onboarded,No,32eda4a0-a0be-4049-badc-ca76e8613e6e,828,1236
Smitty's Place,2023-04-27,0014W00003CNzL6QAL,16. Closed - Onboarded,No,954f41ab-b5ed-41b2-9c28-ae0616603899,828,1117
Rome Ga Peaches,2023-04-27,0014W00003CNyoSQAT,16. Closed - Onboarded,No,283dc942-4c87-4948-963a-f3f9a371763c,0,0
The Grub Truck Charlotte,2023-04-27,0014W00003CNymYQAT,13. Booked - Need Info to Onboard,No,fe4531ba-9443-42ac-bba8-1bee730b75d2,0,0
The Juice Collective,2023-04-27,0014W00003CO0eWQAT,13. Booked - Need Info to Onboard,No,d1ae6cb5-e364-4081-a98a-d22894424fa4,0,222.6
Modern Midwesst Cuisine,2023-04-27,0014W00003CO0IzQAL,16. Closed - Onboarded,No,f6ab6c34-67a4-45ca-ba9f-944329715836,300,370.8
Pixie Scout Parent,2023-04-27,0014W00003CNw6IQAT,16. Closed - Onboarded,No,658eed37-e9ed-42af-b5a0-17b0e2cfc1a9,0,139.98
Homestyle delight llc (anthony kennedy),2023-04-27,0014W00003CNyl6QAD,13. Booked - Need Info to Onboard,No,a05c4b7b-d4f1-4e87-985a-cfc93a0ed02a,0,0
Krazee Dogg & More,2023-04-27,0014W00003CO0XLQA1,16. Closed - Onboarded,No,3477f84f-837f-4eb7-9efd-c9e68d73b3a8,0,146.3
Kujo’s Kajun Twist,2023-04-27,0014W00003CO0YYQA1,13. Booked - Need Info to Onboard,No,0f5837e2-260e-46a3-95c9-ac493d4f1303,300,418.8
Tre'eaux's,2023-04-27,0014W00003CNynRQAT,15. Closed - On hold by Onboarding,Yes,5d59da33-1265-41fe-8632-c917cfbe37b7,0,0
Aji,2023-04-27,0014W00003CNznTQAT,16. Closed - Onboarded,No,666f418c-0cc8-4707-bb81-557318616a6b,0,199
Cream & things llc,2023-04-27,0014W00003CO0FMQA1,13. Booked - Need Info to Onboard,No,4d6ef2e0-dc58-4c05-b3a6-67e3b9c0f0d0,0,0
Rice,2023-04-27,0014W000037X9MWQA0,13. Booked - Need Info to Onboard,No,aadc388f-14cf-4f3b-9a44-cf485413b0cb,0,0
The Sweet Spot,2023-04-27,0014W00003CO0HSQA1,16. Closed - Onboarded,No,cd4cf968-4388-4b53-bee8-59e9e652f255,0,527.99
The Southern Affair,2023-04-27,0014W00003CNyluQAD,16. Closed - Onboarded,No,3610f89b-e5e7-4179-b000-ad6b361ea84f,0,0
Pixie Scount Canteen - The Fountain,2023-04-27,0014W00003CO0PCQA1,16. Closed - Onboarded,No,3ffd7e9d-bd2f-4984-98d8-3ec1ed563fa3,0,139.98
Chicken by Bradley’s llc,2023-04-27,0014W00003CNztWQAT,16. Closed - Onboarded,No,05f166d7-b93b-4ba1-8fbf-25a362978130,0,0
Twister on Mon,2023-04-27,0014W00003CO04IQAT,16. Closed - Onboarded,No,309279e7-fbc9-4bc3-9a43-fa89978d56b5,0,0
Vietnamese Cajun Boil,2023-04-27,0014W00003CNyqgQAD,13. Booked - Need Info to Onboard,No,6ebcfb45-0aaa-4285-a535-1beabf7686ba,0,0
The Nayna,2023-04-27,0014W00003CO0QoQAL,13. Booked - Need Info to Onboard,No,62f3c70b-3030-4339-a5de-552d83814cef,0,0
The Meditation Hive Inc,2023-04-26,0014W00003CNybWQAT,13. Booked - Need Info to Onboard,No,c6d91195-e2a1-4c1a-a1c6-e8bd63216aac,0,0
Leonas Cucina,2023-04-26,0014W000037Vd9RQAS,13. Booked - Need Info to Onboard,No,d88ab2c3-3aee-4efb-90ae-406c1f7f3ade,0,0
Coffee Truck,2023-04-26,0014W00003CNyZGQA1,13. Booked - Need Info to Onboard,No,655f8f75-f90f-42fe-8086-605e8db71740,0,0
El Gallo Pinto,2023-04-26,0014W00003CNyUBQA1,13. Booked - Need Info to Onboard,No,cd09e5f7-57c1-4e22-902a-5f069184567a,0,368.9
Ghost Grub MIA,2023-04-26,0014W00003CNxJ4QAL,13. Booked - Need Info to Onboard,No,166e0366-a7c6-4322-8135-9142101485f7,0,0
El Gallo Pinto LunchBox,2023-04-26,0014W00003CNySeQAL,13. Booked - Need Info to Onboard,No,c63b48b0-90e4-4ce2-9f4c-5ef8ee6bdc02,0,0
Salads Plus,2023-04-26,0014W00003CNyAGQA1,13. Booked - Need Info to Onboard,No,bf40fa17-58de-4b84-819c-45be65a82a1a,0,0
RP Asian House LLC,2023-04-26,0014W00003CNxCcQAL,16. Closed - Onboarded,No,127316bf-6edf-491b-a6f4-59268342106f,0,588.8
Rislende F&B,2023-04-26,0014W00003CNdVwQAL,13. Booked - Need Info to Onboard,No,ffbbde25-9ec1-4761-a81f-273ca2d521e6,0,0
The Collective of Dumas,2023-04-26,0014W00003CNyQYQA1,16. Closed - Onboarded,No,826c00cf-7d86-462a-a2a5-506295ed90ef,0,0
Over The Edge,2023-04-26,0014W00003CNyAfQAL,16. Closed - Onboarded,No,db409711-f348-4914-8844-6cecbd8efc75,1368,1277.6
Jus Like Nawlins,2023-04-26,0014W00003CNxlWQAT,16. Closed - Onboarded,No,5bfa3b38-c4c7-4d16-8757-f485c106ed30,0,0
Feed Your Change co Caitlin Abramovich,2023-04-26,0014W00003CNyEwQAL,16. Closed - Onboarded,No,ea88ecd2-c77d-46f0-af0a-4e0673e23514,0,0
Oohwee Smoothie,2023-04-26,0014W00003CNy06QAD,16. Closed - Onboarded,No,0d6fb747-1597-4660-8a76-cd60b4164d9b,0,0
The Towne Scoop LLC,2023-04-26,0014W00003CNyEmQAL,16. Closed - Onboarded,No,f3d073f2-ef0f-457e-a13e-040dfc058b66,660,1089.01
Nate Smith,2023-04-26,0014W00003CNxGoQAL,13. Booked - Need Info to Onboard,No,face13ed-50bc-4171-ac13-70543dee3109,0,0
Los Dogos and More LLC,2023-04-26,0014W00003CNyjyQAD,16. Closed - Onboarded,No,4a4a4c57-8f90-47fe-b64b-dbdcc0abaf92,0,421.6
Dope Azz Vegan Cafe,2023-04-26,0014W00003CNyPpQAL,16. Closed - Onboarded,No,0e36db73-e856-4550-8952-8e5830f04bbc,0,0
MaMa T's LLC,2023-04-26,0014W00003CNxKSQA1,16. Closed - Onboarded,No,a20b5563-bc03-4a84-89ba-72445d4eb832,0,0
Let us bake you,2023-04-26,0014W00003CNxTwQAL,13. Booked - Need Info to Onboard,No,7e55092b-282b-494c-822e-0c58f894454f,0,0
EggRollDiva,2023-04-26,0014W00003CNyONQA1,16. Closed - Onboarded,No,98adc134-6cdf-43e6-90c0-2270ed4634e9,300,490.81
Soul Soup Bistro & Bakery,2023-04-26,0014W00003CNxHsQAL,16. Closed - Onboarded,No,e49654db-862e-4fae-8fe2-aafe694418d7,0,254.4
Lonestar Crabshack,2023-04-26,0014W00003CNxJiQAL,16. Closed - Onboarded,No,51eeb1f3-cc26-4fe2-908a-59740d008d56,900,0
Lisa’s Pizza Wakefield,2023-04-26,0014W00003CNyjtQAD,13. Booked - Need Info to Onboard,No,ae6e26c9-4c81-4842-98d8-9b85e2003748,0,139.98
Samusi Hibachi 2,2023-04-26,0014W00003CNy3yQAD,13. Booked - Need Info to Onboard,No,d3a20a29-683a-4ddb-8317-ad2a3e4e5ceb,0,279.28
The Road Dog Cafe,2023-04-26,0014W00003CNy1TQAT,13. Booked - Need Info to Onboard,No,4fa4d837-a206-4ad7-aab7-8f0babfeab2b,0,119
"Steven Sarff Simply Sweet Cupcakes, LLC",2023-04-26,0014W00003CNyH7QAL,16. Closed - Onboarded,No,cfb57bed-1b59-493e-85b7-f1023f96ad61,0,310.81
Waffel Mountain,2023-04-26,0014W00003CNxsIQAT,16. Closed - Onboarded,No,42220182-6935-4cf2-9459-8bc3853122bb,0,199
Gourmet Jewels and Gems,2023-04-25,0014W00003CNwKzQAL,13. Booked - Need Info to Onboard,No,5ef67f06-c821-4bd4-956b-576a613e3146,0,0
Greekshore,2023-04-25,0014W00003CNwmtQAD,16. Closed - Onboarded,No,077ddecb-b04b-4150-bf47-6a79896e4f49,0,508.88
Meillie Coffee,2023-04-25,0014W00003CNwl7QAD,17. Closed - On hold by Billing,No,540658ba-98e9-444d-9789-50bde50ffbd9,0,687.01
Joel Charlemagne/Nicely Seasoned Vegan,2023-04-25,0014W00003CNx86QAD,13. Booked - Need Info to Onboard,No,75a36ee3-e68c-4416-9a65-de3b643e598f,0,190.8
Rocco's Deli Italiano,2023-04-25,0014W000037Xmx1QAC,16. Closed - Onboarded,No,caec0a1c-7e6a-4490-bb22-481c3d18bc70,1200,818
Durbie Lee's Soulfood Kitchen,2023-04-25,0014W00003CNweBQAT,13. Booked - Need Info to Onboard,No,c0af9748-edbf-4fbb-ab34-07ec88b8564e,0,0
